ID,Question,Answer
739,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
740,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
741,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
742,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
743,How should I store brazil nuts?,Keep away from direct sunlight.
744,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
745,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
746,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
747,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
748,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
749,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
750,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
751,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
752,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
753,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
754,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
755,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
756,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
757,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
758,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
759,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
760,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
761,Are your cashews organic?,"Yes, our cashews are certified organic."
762,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
763,How should I store pistachios?,Store in the refrigerator for maximum freshness.
764,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
765,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
766,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
767,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
768,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
769,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
770,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
771,Are your pistachios organic?,"Yes, our pistachios are certified organic."
772,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
773,How should I store macadamia nuts?,Keep away from direct sunlight.
774,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
775,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
776,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
777,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
778,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
779,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
780,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
781,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
782,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
783,How should I store brazil nuts?,"Keep them in an airtight container in a cool, dry place."
784,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
785,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
786,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
787,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
788,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
789,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
790,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
791,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
792,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
793,How should I store cashews?,Store in the refrigerator for maximum freshness.
794,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
795,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
796,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
797,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
798,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
799,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
800,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
801,Are your cashews organic?,"Yes, our cashews are certified organic."
802,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
803,How should I store pistachios?,Keep away from direct sunlight.
804,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
805,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
806,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
807,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
808,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
809,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
810,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
811,Are your pistachios organic?,"Yes, our pistachios are certified organic."
812,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
813,How should I store macadamia nuts?,"Keep them in an airtight container in a cool, dry place."
814,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
815,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
816,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
817,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
818,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
819,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
820,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
821,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
822,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
823,How should I store brazil nuts?,Store in the refrigerator for maximum freshness.
824,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
825,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
826,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
827,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
828,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
829,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
830,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
831,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
832,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
833,How should I store cashews?,Keep away from direct sunlight.
834,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
835,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
836,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
837,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
838,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
839,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
840,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
841,Are your cashews organic?,"Yes, our cashews are certified organic."
842,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
843,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
844,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
845,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
846,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
847,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
848,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
849,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
850,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
851,Are your pistachios organic?,"Yes, our pistachios are certified organic."
852,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
853,How should I store macadamia nuts?,Store in the refrigerator for maximum freshness.
854,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
855,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
856,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
857,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
858,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
859,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
860,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
861,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
862,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
863,How should I store brazil nuts?,Keep away from direct sunlight.
864,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
865,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
866,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
867,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
868,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
869,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
870,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
871,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
872,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
873,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
874,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
875,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
876,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
877,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
878,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
879,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
880,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
881,Are your cashews organic?,"Yes, our cashews are certified organic."
882,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
883,How should I store pistachios?,Store in the refrigerator for maximum freshness.
884,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
885,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
886,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
887,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
888,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
889,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
890,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
891,Are your pistachios organic?,"Yes, our pistachios are certified organic."
892,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
893,How should I store macadamia nuts?,Keep away from direct sunlight.
894,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
895,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
896,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
897,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
898,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
899,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
900,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
901,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
902,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
903,How should I store brazil nuts?,"Keep them in an airtight container in a cool, dry place."
904,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
905,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
906,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
907,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
908,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
909,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
910,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
911,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
912,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
913,How should I store cashews?,Store in the refrigerator for maximum freshness.
914,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
915,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
916,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
917,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
918,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
919,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
920,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
921,Are your cashews organic?,"Yes, our cashews are certified organic."
922,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
923,How should I store pistachios?,Keep away from direct sunlight.
924,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
925,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
926,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
927,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
928,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
929,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
930,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
931,Are your pistachios organic?,"Yes, our pistachios are certified organic."
932,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
933,How should I store macadamia nuts?,"Keep them in an airtight container in a cool, dry place."
934,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
935,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
936,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
937,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
938,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
939,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
940,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
941,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
942,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
943,How should I store brazil nuts?,Store in the refrigerator for maximum freshness.
944,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
945,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
946,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
947,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
948,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
949,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
950,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
951,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
952,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
953,How should I store cashews?,Keep away from direct sunlight.
954,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
955,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
956,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
957,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
958,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
959,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
960,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
961,Are your cashews organic?,"Yes, our cashews are certified organic."
962,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
963,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
964,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
965,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
966,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
967,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
968,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
969,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
970,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
971,Are your pistachios organic?,"Yes, our pistachios are certified organic."
972,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
973,How should I store macadamia nuts?,Store in the refrigerator for maximum freshness.
974,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
975,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
976,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
977,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
978,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
979,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
980,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
981,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
982,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
983,How should I store brazil nuts?,Keep away from direct sunlight.
984,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
985,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
986,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
987,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
988,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
989,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
990,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
991,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
992,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
993,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
994,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
995,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
996,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
997,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
998,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
999,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
1000,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
